ID	Track	Slice	X	Y	Distance	Velocity	PixelValue
1	1	1	104	610	-1.000	-1.000	-8944741
2	1	2	98	641	10.704	7.136	-9010797
3	1	3	134	706	25.189	16.793	-9140598
4	1	4	134	700	2.034	1.356	-9074284
5	1	5	113	706	7.404	4.936	-8551022
6	1	6	161	708	16.286	10.857	-8288365
7	1	7	213	725	18.546	12.364	-8877169
8	1	8	310	735	33.057	22.038	-8878706
9	1	9	398	685	34.311	22.874	-8417906
10	1	10	396	635	16.964	11.309	-8088939
11	1	11	436	614	15.315	10.210	-8878445
12	1	12	438	551	21.368	14.245	-9406595
13	1	13	459	490	21.870	14.580	-8681830
14	1	14	478	392	33.841	22.560	-8747113
15	1	15	486	377	5.763	3.842	-9273967
16	1	16	488	375	0.959	0.639	-8615527
17	1	17	505	354	9.159	6.106	-8942700
18	1	18	519	337	7.466	4.977	-9800052
19	1	19	538	327	7.279	4.852	-8614759
20	1	20	563	316	9.259	6.173	-8090471
21	1	21	593	285	14.624	9.749	-9534321
22	1	22	591	283	0.959	0.639	-8614256
23	1	23	589	285	0.959	0.639	-8943737
24	1	24	582	285	2.373	1.582	-8350825
25	1	25	599	272	7.255	4.837	-8614507
26	1	26	595	280	3.032	2.021	-7892582
27	1	27	587	285	3.198	2.132	-8482409
28	2	1	31	610	-1.000	-1.000	-9937287
29	2	2	35	656	15.653	10.435	-11967654
30	2	3	73	681	15.420	10.280	-12237989
31	2	4	67	689	3.390	2.260	-9206144
32	2	5	56	685	3.968	2.645	-10520462
33	2	6	94	693	13.164	8.776	-11111320
34	2	7	148	714	19.642	13.094	-11641514
35	2	8	245	725	33.094	22.063	-10847633
36	2	9	350	727	35.601	23.734	-11582114
37	2	10	375	687	15.991	10.660	-11385763
38	2	11	396	660	11.596	7.730	-11844773
39	2	12	431	614	19.595	13.063	-11320231
40	2	13	492	549	30.219	20.146	-9079445
41	2	14	469	454	33.135	22.090	-10462604
42	2	15	450	427	11.192	7.461	-11119782
43	2	16	454	425	1.516	1.011	-10334892
44	2	17	457	396	9.883	6.589	-9215122
45	2	18	471	383	6.477	4.318	-10389897
46	2	19	484	375	5.175	3.450	-10595998
47	2	20	505	352	10.558	7.039	-7760501
48	2	21	534	322	14.145	9.430	-10982301
49	2	22	534	320	0.678	0.452	-12041134
50	2	23	524	314	3.953	2.636	-10134685
51	2	24	524	316	0.678	0.452	-8624775
52	2	25	540	306	6.396	4.264	-8091511
53	2	26	528	312	4.548	3.032	-9212561
54	2	27	519	308	3.339	2.226	-8876415
55	3	28	597	287	-1.000	-1.000	-8286839
56	3	29	599	287	0.678	0.452	-8223086
57	3	30	601	289	0.959	0.639	-8813684
58	3	31	631	293	10.260	6.840	-8155764
59	3	32	664	283	11.689	7.793	-9272178
60	3	33	677	272	5.773	3.849	-8879998
61	3	34	679	278	2.144	1.429	-8089968
62	3	35	704	272	8.716	5.810	-8354156
63	3	36	696	255	6.369	4.246	-9207163
64	3	37	696	251	1.356	0.904	-9212026
65	3	38	685	253	3.790	2.527	-7697772
66	3	39	685	262	3.051	2.034	-7237221
67	3	40	683	270	2.795	1.864	-8026737
68	3	41	675	283	5.175	3.450	-8158323
69	3	42	675	276	2.373	1.582	-7564905
70	3	43	681	262	5.163	3.442	-7827301
71	3	44	687	226	12.372	8.248	-8024185
72	3	45	712	218	8.898	5.932	-8417647
73	3	46	727	184	12.598	8.399	-7958393
74	3	47	758	134	19.943	13.296	-7827056
75	3	48	754	142	3.032	2.021	-8287347
76	3	49	750	161	6.582	4.388	-8682115
77	3	50	740	169	4.341	2.894	-10064776
78	3	51	754	144	9.713	6.476	-8484719
79	3	52	761	106	13.099	8.732	-8813945
80	3	53	761	129	7.797	5.198	-8552816
81	3	54	754	129	2.373	1.582	-7961205
82	5	28	519	308	-1.000	-1.000	-10131622
83	5	29	517	308	0.678	0.452	-9078422
84	5	30	519	308	0.678	0.452	-10653604
85	5	31	534	312	5.263	3.508	-9077628
86	5	32	566	306	11.037	7.358	-9011597
87	5	33	566	306	0.000	0.000	-10196125
88	5	34	574	299	3.604	2.402	-11379108
89	5	35	589	291	5.763	3.842	-8822942
90	5	36	593	291	1.356	0.904	-10392983
91	5	37	603	283	4.341	2.894	-9536914
92	5	38	593	280	3.539	2.360	-9602180
93	5	39	587	276	2.445	1.630	-8619393
94	5	40	580	280	2.733	1.822	-9011584
95	5	41	582	274	2.144	1.429	-10463649
96	5	42	593	270	3.968	2.645	-11644836
97	5	43	591	257	4.459	2.973	-8155512
98	5	44	589	262	1.826	1.217	-10323601
99	5	45	595	257	2.648	1.765	-10919580
100	5	46	616	243	8.556	5.704	-8879748
101	5	47	641	224	10.645	7.097	-9013640
102	5	48	633	222	2.795	1.864	-10065291
103	5	49	635	230	2.795	1.864	-9865867
104	5	50	635	228	0.678	0.452	-9930365
105	5	51	643	224	3.032	2.021	-10917777
106	5	52	654	205	7.443	4.962	-8222335
107	5	53	658	199	2.445	1.630	-9145230
108	5	54	654	207	3.032	2.021	-11702942
