"","X.1","ID","Track","Slice","X","Y","Distance","Velocity","PixelValue","TrackNumber"
"79",79,83,"Tail After",29,175.263,104.412,0.678,0.452,-9078422,221
"80",80,84,"Tail After",30,175.941,104.412,0.678,0.452,-10653604,221
"81",81,85,"Tail After",31,181.026,105.768,5.263,3.508,-9077628,221
"82",82,86,"Tail After",32,191.874,103.734,11.037,7.358,-9011597,221
"83",83,87,"Tail After",33,191.874,103.734,0,0,-10196125,221
"84",84,88,"Tail After",34,194.586,101.361,3.604,2.402,-11379108,221
"85",85,89,"Tail After",35,199.671,98.649,5.763,3.842,-8822942,221
"86",86,90,"Tail After",36,201.027,98.649,1.356,0.904,-10392983,221
"87",87,91,"Tail After",37,204.417,95.937,4.341,2.894,-9536914,221
"88",88,92,"Tail After",38,201.027,94.92,3.539,2.36,-9602180,221
"89",89,93,"Tail After",39,198.993,93.564,2.445,1.63,-8619393,221
"90",90,94,"Tail After",40,196.62,94.92,2.733,1.822,-9011584,221
"91",91,95,"Tail After",41,197.298,92.886,2.144,1.429,-10463649,221
"92",92,96,"Tail After",42,201.027,91.53,3.968,2.645,-11644836,221
"93",93,97,"Tail After",43,200.349,87.123,4.459,2.973,-8155512,221
"94",94,98,"Tail After",44,199.671,88.818,1.826,1.217,-10323601,221
"95",95,99,"Tail After",45,201.705,87.123,2.648,1.765,-10919580,221
"96",96,100,"Tail After",46,208.824,82.377,8.556,5.704,-8879748,221
"97",97,101,"Tail After",47,217.299,75.936,10.645,7.097,-9013640,221
"98",98,102,"Tail After",48,214.587,75.258,2.795,1.864,-10065291,221
"99",99,103,"Tail After",49,215.265,77.97,2.795,1.864,-9865867,221
"100",100,104,"Tail After",50,215.265,77.292,0.678,0.452,-9930365,221
"101",101,105,"Tail After",51,217.977,75.936,3.032,2.021,-10917777,221
"102",102,106,"Tail After",52,221.706,69.495,7.443,4.962,-8222335,221
"103",103,107,"Tail After",53,223.062,67.461,2.445,1.63,-9145230,221
