LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. γ rate
,,,,,,,,,(frame),(frame),(frame),(µm),(µm),(µm),(µm),(µm/frame),(µm/frame),(µm/frame),(µm/frame),(µm/frame),(quality),(µm),(µm),,(µm/frame),,(rad/frame)
Track_16254,0,0,176,0,0,0,0,0,175.0,1.0,176.0,4.712951687352355,6.58819813283456,353.806291327726,0.0,0.44220858335736946,1.9573087021385358,0.004737828903111497,0.40276505662598877,0.2911201228294391,2334.096590909091,77.38650208753963,5.844160536594422,0.06090146938055248,0.026931152499156313,0.06090146938055246,1.7373744784342962
Track_16255,1,1,18,1,0,0,0,1,18.0,1.0,19.0,3.754489862593042,239.88619161167014,586.6172202362698,0.0,0.9566506488563103,3.4430911200584635,0.13489083802069554,0.7933478676118078,0.8104026700131949,2004.7222222222222,19.706152150615736,5.708897019003248,0.1905237427325826,0.20858277014405788,0.21803442081330482,1.9546499934990953
Track_16256,2,2,12,1,0,0,0,1,12.0,1.0,13.0,1.2867377314699049,571.2797744026001,6.785772080889859,0.0,0.6295473463348689,1.6435452011508205,0.14854529793224405,0.555054720088518,0.4844337570185384,1937.5,7.170680933059471,1.6435452011508205,0.17944428757631253,0.10722814428915874,0.17032578234730886,1.3219238367525632
Track_16257,3,3,95,1,0,0,0,4,98.0,1.0,99.0,19.395769206583587,812.2069440997742,102.60982896134593,0.0,1.0225424032927748,3.949362979261658,0.15450303670768442,0.7669419559446152,0.7931828878322984,2059.221052631579,98.24845378999024,19.481547891644723,0.19741551605527322,0.19791601231207742,0.19355286555819243,1.6266176227638434
Track_16258,4,4,94,2,0,0,0,1,95.0,2.0,97.0,10.67789340759721,432.05303870597106,591.5526271292922,0.0,1.5845641623861229,6.476766066881753,0.04409806309515166,1.3250226898622632,1.2766873546374387,2172.8936170212764,149.5768814382949,13.737045789426174,0.07138732473174454,0.11239887797470748,0.07093362366939508,1.696750689560198
Track_16259,5,5,176,0,0,0,0,0,175.0,1.0,176.0,13.319760573246445,394.0853072772281,57.193000587397506,0.0,0.6980534022648779,3.861362773437007,0.01063765177300323,0.5830582752178135,0.559560414865695,2002.784090909091,122.15934539635367,16.104320271720994,0.1090359524277872,0.07611291756140826,0.10903595242778724,1.728027199815665
Track_16260,6,6,13,1,0,0,0,9,21.0,1.0,22.0,7.5588450156675195,450.84305946330085,583.7251879202436,0.0,1.865181258618734,5.674968811516224,0.16091329424842865,1.4263676350031458,1.9095251103826352,2043.3076923076924,25.781669469907822,8.23319372645656,0.29318679399292386,0.3599450007460724,0.19298124462854127,1.991529243280136
