LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. γ rate
,,,,,,,,,(frame),(frame),(frame),(µm),(µm),(µm),(µm),(µm/frame),(µm/frame),(µm/frame),(µm/frame),(µm/frame),(quality),(µm),(µm),,(µm/frame),,(rad/frame)
Track_1640,1,1,98,0,0,0,0,0,97.0,0.0,97.0,3.78043504591705,735.5222949985231,417.28760557160007,0.0,0.3516669062482475,3.876482664438698,0.013276651410882941,0.23046566279066522,0.49871755742342855,6424.275510204082,34.11168990608002,4.217691006485264,0.1108252055622501,0.038973557174402575,0.11082520556225015,1.788218294154315
Track_1642,3,3,98,0,0,0,0,0,97.0,0.0,97.0,10.196824231531519,778.4913263375488,134.80706670594466,0.0,0.5160949594363826,5.24845981944128,0.006455700033577494,0.2619976571557885,0.7625568677571092,8266.051020408164,50.061211065329104,11.131973766816763,0.20368712651047977,0.10512189929413937,0.20368712651047974,2.020953277143701
Track_1643,4,4,93,0,0,0,0,0,92.0,5.0,97.0,1.4765034914183595,296.87598661012856,2.7886631044508756,0.0,0.3762950265595842,1.3105019341952113,0.026102142668386164,0.3403401571075163,0.2136791047689533,1099.752688172043,34.619142443481756,2.218219617557603,0.042649915255089224,0.01604895099367782,0.04264991525508924,2.0615399827770027
Track_1644,5,5,98,0,0,0,0,0,97.0,0.0,97.0,16.16556248499708,374.6287777756527,569.8449772003396,0.0,0.9275155108816883,4.2822379752004895,0.05180928087638404,0.6971205223741023,0.7995432199691905,5600.091836734694,89.96900455552377,17.169729440497704,0.1796792413660708,0.16665528335048535,0.17967924136607083,1.3895856000642637
Track_1645,6,6,49,0,0,0,0,0,48.0,0.0,48.0,5.884499222909368,332.2909582262969,3.0770915944494406,0.0,0.7043829593111254,2.735443594126234,0.05776881643392147,0.5172165456096965,0.5485806431725312,1131.4285714285713,33.810382046934016,6.2854391235056974,0.17404415054348624,0.12259373381061184,0.17404415054348624,1.6402907816123662
Track_1646,7,7,98,0,0,0,0,0,97.0,0.0,97.0,5.845164958777232,544.2850520316979,129.1322919399981,0.0,0.6867638891881812,3.480362276300631,0.024082768274685258,0.5392341582857855,0.5731091153741927,3897.877551020408,66.61609725125362,6.619986132696616,0.08774403184760624,0.060259432564713736,0.0877440318476063,1.598144514504632
Track_1647,8,8,98,0,0,0,0,0,97.0,0.0,97.0,11.27960277359985,302.13107585379447,417.6136757546424,0.0,3.0083524082020814,10.470289611956014,0.33524587974779146,2.502189042011366,2.1849023844500546,7969.775510204082,291.810183595602,13.071647680164453,0.038653903830962295,0.11628456467628712,0.03865390383096231,1.8720514510068604
