LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. γ rate
,,,,,,,,,(frame),(frame),(frame),(µm),(µm),(µm),(µm),(µm/frame),(µm/frame),(µm/frame),(µm/frame),(µm/frame),(quality),(µm),(µm),,(µm/frame),,(rad/frame)
Track_491,0,0,354,0,0,0,0,0,353.0,0.0,353.0,145.71619609219718,571.5401505627298,92.15617456464025,0.0,1.7418236183921625,9.867547638447396,0.01380373372149205,1.12853510651792,1.7625256779283698,5403.353107344633,614.8637372924337,145.76198728224338,0.23698941286383504,0.41279375663511947,0.23698941286383515,1.4878338792109127
Track_492,1,1,375,0,0,0,0,0,374.0,0.0,374.0,8.367149221267583,800.8192371903556,246.15097219214613,0.0,0.34357986496568665,1.507651479191094,0.006200931822895294,0.2896235363875841,0.23024143408206335,4831.173333333333,128.49886949716685,8.83406559350343,0.0651145745796002,0.022372056741357175,0.06511457457960021,1.83905082876937
Track_493,2,2,375,0,0,0,0,0,374.0,0.0,374.0,1.9966277285791023,396.34579220133,278.2796082680892,0.0,0.3142809571043778,1.3617267535194266,0.014834929823938987,0.25066040548813195,0.24068536682280095,5665.416,117.54107795703727,5.446242904071739,0.016986637891043457,0.005338576814382627,0.016986637891043453,1.874424953005393
Track_494,3,3,375,0,0,0,0,0,374.0,0.0,374.0,21.679478136872163,735.3934996638767,346.07539541148793,0.0,0.4571798926369467,2.2003714303846267,0.007242526364277957,0.37850319770476576,0.35233682397118765,2787.653333333333,170.98527984621785,21.938787077577523,0.12679148846245963,0.05796651908254589,0.12679148846245947,1.6666080259280627
Track_495,4,4,55,0,0,0,0,0,54.0,0.0,54.0,14.450200883139297,38.13223042383582,596.1323576799576,0.0,1.0043129284959327,3.6203684437718464,0.0951830635758891,0.8665452267454342,0.7184433223470631,2347.6545454545453,54.23289813878037,14.450200883139297,0.26644714516568274,0.26759631265072775,0.26644714516568274,1.4159381283382122
Track_496,5,5,30,0,0,0,0,0,29.0,0.0,29.0,4.015330914509204,217.29223439553124,249.04609170141418,0.0,0.9216051785100823,2.2462063623974338,0.13164315889978365,0.8368565348056083,0.5066160279365289,2284.0,26.726550176792387,4.015330914509204,0.15023753114219202,0.13845968670721392,0.15023753114219202,1.559884577981069
Track_497,6,6,375,0,0,0,0,0,374.0,0.0,374.0,4.1604047880112685,854.9061584695847,16.217439048485954,0.0,0.32320614624324445,3.738316335454996,0.0190078949523498,0.24077425073368428,0.3146650673419947,5952.202666666667,120.87909869497335,7.683760908151925,0.03441790047185614,0.011124076973292162,0.034417900471856125,1.813454175402114
