"","Track","Time","X","Y","Distance","Velocity","Pixel","Type","Subtype"
"1","C1",2,404,404,3.125,2.084,-11051158,"Control","Coenocyte"
"2","C1",3,406,408,1.516,1.011,-10457489,"Control","Coenocyte"
"3","C1",4,408,404,1.516,1.011,-9737617,"Control","Coenocyte"
"4","C1",5,408,406,0.678,0.452,-9539735,"Control","Coenocyte"
"5","C1",6,402,408,2.144,1.429,-10591888,"Control","Coenocyte"
"6","C1",7,408,408,2.034,1.356,-8554122,"Control","Coenocyte"
"7","C1",8,406,408,0.678,0.452,-10064798,"Control","Coenocyte"
"8","C1",9,406,408,0,0,-9473944,"Control","Coenocyte"
"9","C1",10,402,406,1.516,1.011,-10262431,"Control","Coenocyte"
"10","C1",11,404,408,0.959,0.639,-9276822,"Control","Coenocyte"
"11","C1",12,404,408,0,0,-9212830,"Control","Coenocyte"
"12","C1",13,404,408,0,0,-8816014,"Control","Coenocyte"
"13","C1",14,400,408,1.356,0.904,-9407122,"Control","Coenocyte"
"14","C1",15,400,408,0,0,-10196135,"Control","Coenocyte"
"15","C1",16,400,408,0,0,-9801367,"Control","Coenocyte"
"16","C1",17,400,408,0,0,-8947089,"Control","Coenocyte"
"17","C1",18,400,408,0,0,-9538972,"Control","Coenocyte"
"18","C1",19,400,408,0,0,-8814721,"Control","Coenocyte"
"19","C1",20,400,408,0,0,-8355710,"Control","Coenocyte"
"20","C1",21,398,408,0.678,0.452,-9668238,"Control","Coenocyte"
"21","C1",22,398,410,0.678,0.452,-9538446,"Control","Coenocyte"
"22","C1",23,398,410,0,0,-9604501,"Control","Coenocyte"
"23","C1",24,398,410,0,0,-9275282,"Control","Coenocyte"
"24","C1",25,398,410,0,0,-9012629,"Control","Coenocyte"
"25","C1",26,398,410,0,0,-9274506,"Control","Coenocyte"
"26","C1",27,398,410,0,0,-9143437,"Control","Coenocyte"
"27","C1",28,398,410,0,0,-8552842,"Control","Coenocyte"
"28","C1",29,398,410,0,0,-8814731,"Control","Coenocyte"
"29","C1",30,398,410,0,0,-9144466,"Control","Coenocyte"
"30","C1",31,398,410,0,0,-8618632,"Control","Coenocyte"
"31","C1",32,398,410,0,0,-9012880,"Control","Coenocyte"
"32","C1",33,398,410,0,0,-9539222,"Control","Coenocyte"
"33","C1",34,398,410,0,0,-8947340,"Control","Coenocyte"
"34","C1",35,398,410,0,0,-9208725,"Control","Coenocyte"
"35","C1",36,398,408,0.678,0.452,-8616841,"Control","Coenocyte"
"36","C1",37,398,408,0,0,-8485770,"Control","Coenocyte"
"37","C1",38,398,408,0,0,-9801115,"Control","Coenocyte"
"38","C1",39,398,406,0.678,0.452,-9472663,"Control","Coenocyte"
"39","C1",40,398,404,0.678,0.452,-7240305,"Control","Coenocyte"
"40","C1",41,389,404,3.051,2.034,-8158345,"Control","Coenocyte"
"41","C1",42,389,404,0,0,-7238519,"Control","Coenocyte"
"42","C1",43,389,404,0,0,-7565944,"Control","Coenocyte"
"43","C1",44,387,406,0.959,0.639,-8750218,"Control","Coenocyte"
"44","C1",45,387,406,0,0,-9210772,"Control","Coenocyte"
"45","C1",46,387,406,0,0,-8290950,"Control","Coenocyte"
"46","C1",47,387,406,0,0,-8356500,"Control","Coenocyte"
"47","C1",48,387,406,0,0,-8093579,"Control","Coenocyte"
"48","C1",49,387,406,0,0,-7633028,"Control","Coenocyte"
"49","C1",50,387,408,0.678,0.452,-8225684,"Control","Coenocyte"
"50","C1",51,387,408,0,0,-8487576,"Control","Coenocyte"
"51","C1",52,387,413,1.695,1.13,-9408412,"Control","Coenocyte"
"52","C1",53,387,413,0,0,-9473934,"Control","Coenocyte"
"53","C1",54,387,413,0,0,-9407891,"Control","Coenocyte"
"54","C1",55,387,413,0,0,-9606040,"Control","Coenocyte"
"55","C1",56,387,413,0,0,-9408649,"Control","Coenocyte"
"56","C1",57,387,408,1.695,1.13,-8748679,"Control","Coenocyte"
"57","C1",58,387,408,0,0,-8881296,"Control","Coenocyte"
"58","C1",59,387,408,0,0,-8355211,"Control","Coenocyte"
"59","C1",60,387,408,0,0,-9144728,"Control","Coenocyte"
"60","C1",61,387,408,0,0,-8814731,"Control","Coenocyte"
"61","C1",62,387,408,0,0,-8420745,"Control","Coenocyte"
"62","C1",63,387,408,0,0,-8421256,"Control","Coenocyte"
"63","C1",64,387,408,0,0,-8287874,"Control","Coenocyte"
"64","C1",65,385,408,0.678,0.452,-8880273,"Control","Coenocyte"
"65","C1",66,385,408,0,0,-8552064,"Control","Coenocyte"
"66","C1",67,385,408,0,0,-9076103,"Control","Coenocyte"
"67","C1",68,385,408,0,0,-9470084,"Control","Coenocyte"
"68","C1",69,385,408,0,0,-9798281,"Control","Coenocyte"
"69","C1",70,385,408,0,0,-9403010,"Control","Coenocyte"
"70","C1",71,385,408,0,0,-9206919,"Control","Coenocyte"
"71","C1",72,385,408,0,0,-9667213,"Control","Coenocyte"
"72","C1",73,385,408,0,0,-9404037,"Control","Coenocyte"
"73","C1",74,385,408,0,0,-9339527,"Control","Coenocyte"
"74","C1",75,385,408,0,0,-8352648,"Control","Coenocyte"
"75","C1",76,385,408,0,0,-9602445,"Control","Coenocyte"
"76","C1",77,385,408,0,0,-9340045,"Control","Coenocyte"
"77","C1",78,385,408,0,0,-8486017,"Control","Coenocyte"
"78","C1",79,387,406,0.959,0.639,-10589073,"Control","Coenocyte"
"79","C1",80,387,408,0.678,0.452,-9273216,"Control","Coenocyte"
"80","C1",81,387,408,0,0,-9470343,"Control","Coenocyte"
"81","C1",82,387,408,0,0,-10259851,"Control","Coenocyte"
"82","C1",83,387,408,0,0,-9207420,"Control","Coenocyte"
"83","C1",84,383,410,1.516,1.011,-9275009,"Control","Coenocyte"
"84","C1",85,385,410,0.678,0.452,-9537664,"Control","Coenocyte"
"85","C1",86,385,410,0,0,-9798530,"Control","Coenocyte"
"86","C1",87,385,410,0,0,-10194315,"Control","Coenocyte"
"87","C1",88,385,410,0,0,-10521230,"Control","Coenocyte"
"88","C1",89,387,413,1.222,0.815,-8025459,"Control","Coenocyte"
"89","C1",90,387,413,0,0,-8550519,"Control","Coenocyte"
"90","C1",91,389,410,1.222,0.815,-9009014,"Control","Coenocyte"
"91","C1",92,389,410,0,0,-8812413,"Control","Coenocyte"
"92","C1",93,389,410,0,0,-9600128,"Control","Coenocyte"
"93","C1",94,387,410,0.678,0.452,-10063501,"Control","Coenocyte"
"94","C1",95,387,410,0,0,-11113616,"Control","Coenocyte"
"95","C1",96,387,410,0,0,-11838103,"Control","Coenocyte"
"96","C1",97,387,410,0,0,-11839392,"Control","Coenocyte"
"97","C1",98,387,410,0,0,-11443355,"Control","Coenocyte"
"98","C1",99,387,410,0,0,-11049113,"Control","Coenocyte"
"99","C1",100,389,410,0.678,0.452,-9534847,"Control","Coenocyte"
"100","C2",2,1782,645,1.516,1.011,-8356726,"Control","Coenocyte"
"101","C2",3,1782,645,0,0,-8816251,"Control","Coenocyte"
"102","C2",4,1782,645,0,0,-9210233,"Control","Coenocyte"
"103","C2",5,1782,645,0,0,-9475207,"Control","Coenocyte"
"104","C2",6,1782,652,2.373,1.582,-9931923,"Control","Coenocyte"
"105","C2",7,1782,652,0,0,-8682369,"Control","Coenocyte"
"106","C2",8,1782,652,0,0,-10455941,"Control","Coenocyte"
"107","C2",9,1771,649,3.865,2.577,-8816514,"Control","Coenocyte"
"108","C2",10,1771,649,0,0,-9013632,"Control","Coenocyte"
"109","C2",11,1775,649,1.356,0.904,-9996679,"Control","Coenocyte"
"110","C2",12,1775,649,0,0,-9143170,"Control","Coenocyte"
"111","C2",13,1775,649,0,0,-9211524,"Control","Coenocyte"
"112","C2",14,1777,649,0.678,0.452,-8685180,"Control","Coenocyte"
"113","C2",15,1784,647,2.468,1.645,-10256779,"Control","Coenocyte"
