"","Track","Time","X","Y","Distance","Velocity","Pixel","Type","Subtype"
"1","C1",2,136.956,514.263,3.125,2.084,-11051158,"Control","Coenocyte"
"2","C1",3,137.634,512.907,1.516,1.011,-10457489,"Control","Coenocyte"
"3","C1",4,138.312,514.263,1.516,1.011,-9737617,"Control","Coenocyte"
"4","C1",5,138.312,513.585,0.678,0.452,-9539735,"Control","Coenocyte"
"5","C1",6,136.278,512.907,2.144,1.429,-10591888,"Control","Coenocyte"
"6","C1",7,138.312,512.907,2.034,1.356,-8554122,"Control","Coenocyte"
"7","C1",8,137.634,512.907,0.678,0.452,-10064798,"Control","Coenocyte"
"8","C1",9,137.634,512.907,0,0,-9473944,"Control","Coenocyte"
"9","C1",10,136.278,513.585,1.516,1.011,-10262431,"Control","Coenocyte"
"10","C1",11,136.956,512.907,0.959,0.639,-9276822,"Control","Coenocyte"
"11","C1",12,136.956,512.907,0,0,-9212830,"Control","Coenocyte"
"12","C1",13,136.956,512.907,0,0,-8816014,"Control","Coenocyte"
"13","C1",14,135.6,512.907,1.356,0.904,-9407122,"Control","Coenocyte"
"14","C1",15,135.6,512.907,0,0,-10196135,"Control","Coenocyte"
"15","C1",16,135.6,512.907,0,0,-9801367,"Control","Coenocyte"
"16","C1",17,135.6,512.907,0,0,-8947089,"Control","Coenocyte"
"17","C1",18,135.6,512.907,0,0,-9538972,"Control","Coenocyte"
"18","C1",19,135.6,512.907,0,0,-8814721,"Control","Coenocyte"
"19","C1",20,135.6,512.907,0,0,-8355710,"Control","Coenocyte"
"20","C1",21,134.922,512.907,0.678,0.452,-9668238,"Control","Coenocyte"
"21","C1",22,134.922,512.229,0.678,0.452,-9538446,"Control","Coenocyte"
"22","C1",23,134.922,512.229,0,0,-9604501,"Control","Coenocyte"
"23","C1",24,134.922,512.229,0,0,-9275282,"Control","Coenocyte"
"24","C1",25,134.922,512.229,0,0,-9012629,"Control","Coenocyte"
"25","C1",26,134.922,512.229,0,0,-9274506,"Control","Coenocyte"
"26","C1",27,134.922,512.229,0,0,-9143437,"Control","Coenocyte"
"27","C1",28,134.922,512.229,0,0,-8552842,"Control","Coenocyte"
